City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,Sao Miguel Do Araguaia,BR,87.33,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
347,Kautokeino,NO,54.41,clear sky,69.0125,23.0412,Thon Hotel Kautokeino
348,Anadyr,RU,45.1,broken clouds,64.75,177.4833,"Гостиница ""Анадырь"""
349,Mecca,SA,88.18,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
350,Bakchar,RU,54.41,broken clouds,57.0186,82.0711,Kristina
351,Torbay,CA,45.88,overcast clouds,47.6666,-52.7314,Gallows Cove
352,Duldurga,RU,54.99,overcast clouds,50.6761,113.5931,Golden Dragon
353,Qaqortoq,GL,55.9,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
354,Hildburghausen,DE,63.36,overcast clouds,50.4255,10.7318,Pension Thüringer Hof
356,Salcedo,PH,76.91,overcast clouds,12.8105,121.4674,Yamaji Freeman Farm
358,Iberia,US,84.97,broken clouds,29.9502,-91.7507,back to back rv park
361,High Level,CA,62.71,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
362,Mogadishu,SO,79.18,broken clouds,2.0371,45.3438,Hotel Juba
363,Muros,ES,68.85,few clouds,42.7762,-9.0603,Apartment Av. Castelao
364,Makakilo City,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
365,Ayan,RU,40.39,overcast clouds,56.45,138.1667,Gostinitsa
366,Almondbank,GB,60.75,broken clouds,56.4173,-3.5183,Perth Youth Hostel
367,Port Blair,IN,83.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
